"EventID","ActionID","SoundID","SourceID","WEM","StreamType","Status"
"1475671394","1072472205","1055461642","798490929","798490929.wem","1","COMPLETE"
"1476413656","924379110","477459611","793668433","793668433.wem","1","COMPLETE"
"1477756927","950272388","587799451","54204748","54204748.wem","1","COMPLETE"
"1477902024","948709598","173918181","175393690","175393690.wem","1","COMPLETE"
"1492325161","326843746","760731484","958740332","958740332.wem","1","COMPLETE"
"1493056630","641044259","847070882","1032521899","1032521899.wem","1","COMPLETE"
"1493191243","164036162","1032978047","273544445","273544445.wem","1","COMPLETE"
"1495675248","655895176","699732404","661524582","661524582.wem","1","COMPLETE"
"1497286621","128065732","1042806552","357489160","357489160.wem","1","COMPLETE"
"1499399721","756736741","625381198","724317941","724317941.wem","1","COMPLETE"
"1503649457","98354924","650450056","499650297","499650297.wem","1","COMPLETE"
"1504001219","801788045","456172947","929730082","929730082.wem","1","COMPLETE"
"1504815003","25101986","366616315","212234175","212234175.wem","1","COMPLETE"
"1506958271","1064049449","330774367","465962432","465962432.wem","1","COMPLETE"
"1514642882","414394438","537527083","622342419","622342419.wem","1","COMPLETE"
"1522166924","133277949","734909783","751516442","751516442.wem","1","COMPLETE"
"1522572093","813372218","690889424","272603742","272603742.wem","1","COMPLETE"
"1525990237","744053099","696179535","200272434","200272434.wem","1","COMPLETE"
"1528523366","760646068","632188632","450167022","450167022.wem","1","COMPLETE"
"1536221796","900878983","334999623","939099692","939099692.wem","1","COMPLETE"
"1537684813","740483147","835605372","631317220","631317220.wem","1","COMPLETE"
"1546929112","798775751","520615931","268592622","268592622.wem","1","COMPLETE"
"1552701547","685200613","504544031","589104479","589104479.wem","1","COMPLETE"
"1562324204","808464622","174883767","214125137","214125137.wem","1","COMPLETE"
"1563170930","589383386","162456240","920129876","920129876.wem","1","COMPLETE"
"1571639502","101690538","852731061","917921297","917921297.wem","1","COMPLETE"
"1572331927","801140388","828913332","627610828","627610828.wem","1","COMPLETE"
"1574635234","401446043","486557715","541461070","541461070.wem","1","COMPLETE"
"1576689665","622991018","123309391","1067575506","1067575506.wem","1","COMPLETE"
"1577743092","869991064","804677276","916018735","916018735.wem","1","COMPLETE"
"1579828519","153631324","794660535","222555717","222555717.wem","1","COMPLETE"
"1583071034","370800526","873603613","408545271","408545271.wem","1","COMPLETE"
