"EventID","ActionID","SoundID","SourceID","WEM","StreamType","SizeBytes","SizeKB","Codec","SampleRate","Channels","Streams","DurationSec","Looping","VgmstreamExit"
"4170034684","868473525","250996898","140753050","140753050.wem","1","20384","19,91","","","","","70826","","0"
"3189533682","59351733","1038669707","141791397","141791397.wem","1","25490","24,89","","","","","95573","","0"
"2359788130","706680686","345183286","142501603","142501603.wem","2","34226","33,42","","","","","142008","","0"
"2403334882","280088796","796301526","143438724","143438724.wem","1","10839","10,58","","","","","36621","","0"
"1045436160","859063789","499257815","144853272","144853272.wem","1","17754","17,34","","","","","66277","","0"
"2686703802","866994893","548337589","145243625","145243625.wem","1","27504","26,86","","","","","91443","","0"
"1917077711","993476896","310592170","145401243","145401243.wem","1","12548","12,25","","","","","46421","","0"
"14107373","162280588","877794139","145630016","145630016.wem","1","8395","8,2","","","","","30933","","0"
"1819604464","830597988","60666303","145992104","145992104.wem","1","58373","57","","","","","220570","","0"
"3325452044","563618692","69177987","146493191","146493191.wem","1","14908","14,56","","","","","52056","","0"
"3082062299","1027399461","278513699","147747681","147747681.wem","1","34671","33,86","","","","","142826","","0"
"3249961414","317431926","846913607","147824665","147824665.wem","1","23277","22,73","","","","","100010","","0"
"3628366633","550507698","92514553","148095223","148095223.wem","1","27863","27,21","","","","","111357","","0"
"2322088210","878173925","860342797","148307580","148307580.wem","1","18500","18,07","","","","","68693","","0"
"282520146","674163862","698471899","149097461","149097461.wem","1","25040","24,45","","","","","78061","","0"
"1654706174","380542528","275045697","149815371","149815371.wem","1","10395","10,15","","","","","41323","","0"
"2777911739","1050996736","55960903","150380784","150380784.wem","1","7104","6,94","","","","","25410","","0"
"1434959409","202874251","472137787","150649308","150649308.wem","1","40375","39,43","","","","","162429","","0"
"3960852780","860477649","630975810","150800374","150800374.wem","1","27717","27,07","","","","","95743","","0"
"3759483214","111729126","633391133","151932880","151932880.wem","1","18027","17,6","","","","","62805","","0"
