"EventID","ActionID","SoundID","SourceID","WEM","StreamType","SizeKB","DurationSec","BitrateKbps","Encoding","SampleRate","Channels","Bucket"
"2445559219","779377083","105363513","788630374","788630374.wem","1","15,56","1,909","66","Custom Vorbis","32000 Hz","1","01-02s"
"2454000597","289426750","511937155","793708866","793708866.wem","1","32,25","3,991","66","Custom Vorbis","32000 Hz","1","03-05s"
"2457704346","574401583","792154728","486413675","486413675.wem","1","19,02","1,822","85","Custom Vorbis","32000 Hz","1","01-02s"
"2465047953","544599743","380690990","127735755","127735755.wem","1","28,54","3,544","65","Custom Vorbis","32000 Hz","1","03-05s"
"2472637814","212314177","1040766705","423576560","423576560.wem","1","13,02","1,543","68","Custom Vorbis","32000 Hz","1","01-02s"
"2473794624","490975876","119773558","688622186","688622186.wem","1","41","4,933","67","Custom Vorbis","32000 Hz","1","03-05s"
"2474481933","637311462","1056169457","805585905","805585905.wem","1","18,37","1,603","93","Custom Vorbis","32000 Hz","1","01-02s"
"2476246378","280642798","648285456","174921470","174921470.wem","1","56,71","6,019","77","Custom Vorbis","32000 Hz","1","05-10s"
"2477547673","80120170","899810283","219180708","219180708.wem","1","26,93","2,859","76","Custom Vorbis","32000 Hz","1","02-03s"
"2484133173","539367414","72321886","102436360","102436360.wem","1","34,89","4,117","69","Custom Vorbis","32000 Hz","1","03-05s"
"2489945728","234893302","832648642","528120439","528120439.wem","1","21,35","2,432","71","Custom Vorbis","32000 Hz","1","02-03s"
"2490695792","382095047","812542932","218774231","218774231.wem","1","58,08","7,371","64","Custom Vorbis","32000 Hz","1","05-10s"
"2499600490","780665079","91419247","608002897","608002897.wem","1","41,4","4,864","69","Custom Vorbis","32000 Hz","1","03-05s"
"2501910180","145636329","203607454","698957989","698957989.wem","1","12,34","1,717","58","Custom Vorbis","32000 Hz","1","01-02s"
"2517422018","758071889","47293031","937859725","937859725.wem","1","28,41","3,325","69","Custom Vorbis","32000 Hz","1","03-05s"
"2518913913","368057932","829265289","860778881","860778881.wem","1","33,08","3,823","70","Custom Vorbis","32000 Hz","1","03-05s"
"2519060418","910703238","876698212","6407439","6407439.wem","1","39,57","4,774","67","Custom Vorbis","32000 Hz","1","03-05s"
"2522611136","715571477","335574237","359395123","359395123.wem","1","22,29","3","60","Custom Vorbis","32000 Hz","1","03-05s"
"2525315717","597649411","252320662","415162792","415162792.wem","2","10,97","1,335","66","Custom Vorbis","32000 Hz","1","01-02s"
"2525512531","642971320","366670215","742914976","742914976.wem","1","43,71","5,2","68","Custom Vorbis","32000 Hz","1","05-10s"
"2534291421","587587175","186431793","1039444031","1039444031.wem","1","17,89","2,105","69","Custom Vorbis","32000 Hz","1","02-03s"
"2538218920","512806896","577175757","287830862","287830862.wem","1","38,37","4,694","66","Custom Vorbis","32000 Hz","1","03-05s"
"2541491532","310537009","202923190","809202668","809202668.wem","1","27,2","3,316","66","Custom Vorbis","32000 Hz","1","03-05s"
"2545964037","249723566","662727444","130214626","130214626.wem","1","7,3","0,817","72","Custom Vorbis","32000 Hz","1","00-01s"
"2554253173","623088887","438729264","743470628","743470628.wem","1","37,97","4,161","74","Custom Vorbis","32000 Hz","1","03-05s"
"2555930391","225731760","1006466372","626322069","626322069.wem","2","112,44","14,184","64","Custom Vorbis","32000 Hz","1","10-20s"
"2565760583","570273374","227351358","86148928","86148928.wem","1","9,71","1,327","59","Custom Vorbis","32000 Hz","1","01-02s"
"2570146160","743827893","102529807","660666201","660666201.wem","1","24,47","2,972","67","Custom Vorbis","32000 Hz","1","02-03s"
"2578213330","74137745","872518086","876561326","876561326.wem","1","15,2","1,877","65","Custom Vorbis","32000 Hz","1","01-02s"
"2580604493","289027545","481013096","169992522","169992522.wem","1","46,88","5,131","74","Custom Vorbis","32000 Hz","1","05-10s"
"2584526111","47485129","949224210","964945468","964945468.wem","1","19,23","2,335","67","Custom Vorbis","32000 Hz","1","02-03s"
"2596443901","962335104","305520658","669126361","669126361.wem","1","23,73","2,803","69","Custom Vorbis","32000 Hz","1","02-03s"
"2600442144","799096121","126814530","323532677","323532677.wem","2","10,29","1,201","69","Custom Vorbis","32000 Hz","1","01-02s"
"2603129809","272141459","524458779","799928963","799928963.wem","1","80,11","9,815","66","Custom Vorbis","32000 Hz","1","05-10s"
"2603168646","81192648","1010532790","27253652","27253652.wem","1","67","7,883","69","Custom Vorbis","32000 Hz","1","05-10s"
"2604247032","814291001","689180251","110723765","110723765.wem","2","57,9","6,173","76","Custom Vorbis","32000 Hz","1","05-10s"
"2611447410","177203986","368729190","816045425","816045425.wem","1","43,97","6,332","56","Custom Vorbis","32000 Hz","1","05-10s"
"2612629683","661207466","425828521","42374114","42374114.wem","1","15,36","1,747","71","Custom Vorbis","32000 Hz","1","01-02s"
"2614898379","838684050","435229911","290922556","290922556.wem","1","25,88","2,89","73","Custom Vorbis","32000 Hz","1","02-03s"
"2617860108","642223327","717555436","439504169","439504169.wem","1","40,64","4,602","72","Custom Vorbis","32000 Hz","1","03-05s"
"2618876834","380036408","713689065","872314379","872314379.wem","1","54,42","5,693","78","Custom Vorbis","32000 Hz","1","05-10s"
"2620796913","864881930","543057014","103162336","103162336.wem","1","43,89","5,261","68","Custom Vorbis","32000 Hz","1","05-10s"
"2627370257","824668894","344839582","223275476","223275476.wem","1","25,96","3,153","67","Custom Vorbis","32000 Hz","1","03-05s"
