"Index","Batch","WEM","SourcePath","WAV","EventID","ActionID","SoundID","SourceID","StreamType","DurationSec","BitrateKbps","Encoding","SampleRate","Channels","Bucket","Status"
"871","Batch_009","384020408.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\384020408.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0871_384020408.wav","952301461","541919175","838947076","384020408","1","4,988","69","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"872","Batch_009","231986273.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\231986273.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0872_231986273.wav","2036711722","180633126","92415574","231986273","1","4,992","67","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"873","Batch_009","507868355.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\507868355.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0873_507868355.wav","3016619489","878720335","448285965","507868355","1","5","61","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"874","Batch_009","65816721.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\65816721.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0874_65816721.wav","373633978","217254183","101784772","65816721","1","5","62","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"875","Batch_009","396856693.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\396856693.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0875_396856693.wav","2955162213","997398706","1039244062","396856693","1","5","60","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"876","Batch_009","718567021.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\718567021.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0876_718567021.wav","2740913428","12442089","282039142","718567021","1","5,006","70","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"877","Batch_009","503484683.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\503484683.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0877_503484683.wav","2348459300","779699267","38117020","503484683","1","5,012","66","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"878","Batch_009","726089987.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\726089987.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0878_726089987.wav","37023884","1003340774","56078658","726089987","1","5,025","83","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"879","Batch_009","1016042812.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\1016042812.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0879_1016042812.wav","797081514","669172539","856573065","1016042812","1","5,032","68","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"880","Batch_009","564389244.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\564389244.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0880_564389244.wav","4268665587","433083335","517308290","564389244","1","5,034","67","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"881","Batch_009","607257319.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\607257319.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0881_607257319.wav","1232370383","919574694","969254776","607257319","1","5,056","69","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"882","Batch_009","1019216425.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\1019216425.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0882_1019216425.wav","1192026671","314103222","668081205","1019216425","1","5,073","65","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"883","Batch_009","150649308.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\150649308.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0883_150649308.wav","1434959409","202874251","472137787","150649308","1","5,076","63","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"884","Batch_009","607237120.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\607237120.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0884_607237120.wav","3734191343","716363581","751633344","607237120","1","5,079","72","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
