"Index","Batch","WEM","Audio","EventID","ActionID","SoundID","SourceID","DurationSec","Category","Character","OriginalTranscript","PTBR","Notes","Status"
"155","Batch_002","368819908.wem","Batch_002/0155_368819908.wav","602792762","994157173","458932156","368819908","1,325","FALA","","","","","PENDING"
"156","Batch_002","86148928.wem","Batch_002/0156_86148928.wav","2565760583","570273374","227351358","86148928","1,327","FALA","","","","","PENDING"
"157","Batch_002","158413004.wem","Batch_002/0157_158413004.wav","1601078373","895019799","131761106","158413004","1,328","FALA","","","","","PENDING"
"158","Batch_002","352232437.wem","Batch_002/0158_352232437.wav","766606842","391164112","996095719","352232437","1,333","FALA","","","","","PENDING"
"159","Batch_002","415162792.wem","Batch_002/0159_415162792.wav","2525315717","597649411","252320662","415162792","1,335","FALA","","","","","PENDING"
"160","Batch_002","70532753.wem","Batch_002/0160_70532753.wav","1726545727","451104876","724719174","70532753","1,338","FALA","","","","","PENDING"
"161","Batch_002","215314467.wem","Batch_002/0161_215314467.wav","162858554","937801278","235759430","215314467","1,344","FALA","","","","","PENDING"
"162","Batch_002","1015064643.wem","Batch_002/0162_1015064643.wav","3868670544","691663341","669634303","1015064643","1,35","FALA","","","","","PENDING"
"163","Batch_002","853491826.wem","Batch_002/0163_853491826.wav","1459636069","516516145","889058608","853491826","1,357","FALA","","","","","PENDING"
"164","Batch_002","232476450.wem","Batch_002/0164_232476450.wav","681762395","985071126","159629790","232476450","1,358","FALA","","","","","PENDING"
"165","Batch_002","1994541.wem","Batch_002/0165_1994541.wav","1939217055","483822953","123592416","1994541","1,363","FALA","","","","","PENDING"
"166","Batch_002","933920771.wem","Batch_002/0166_933920771.wav","1855482301","958923539","78479861","933920771","1,365","FALA","","","","","PENDING"
"167","Batch_002","897931311.wem","Batch_002/0167_897931311.wav","506962629","2285844","656397272","897931311","1,365","FALA","","","","","PENDING"
"168","Batch_002","197738680.wem","Batch_002/0168_197738680.wav","2357038600","592851939","869813336","197738680","1,368","FALA","","","","","PENDING"
"169","Batch_002","45145384.wem","Batch_002/0169_45145384.wav","506953500","178446032","917952391","45145384","1,371","FALA","","","","","PENDING"
"170","Batch_002","48753438.wem","Batch_002/0170_48753438.wav","2239595267","299213525","893424268","48753438","1,38","FALA","","","","","PENDING"
"171","Batch_002","578006395.wem","Batch_002/0171_578006395.wav","909603870","1043784522","1062181540","578006395","1,386","FALA","","","","","PENDING"
"172","Batch_002","92791440.wem","Batch_002/0172_92791440.wav","350822486","782660235","708761017","92791440","1,387","FALA","","","","","PENDING"
"173","Batch_002","120369165.wem","Batch_002/0173_120369165.wav","3574820932","441572062","359274625","120369165","1,388","FALA","","","","","PENDING"
