"Index","WEM","Type","Character","Context","Status","OriginalText","PTBRText","Notes"
"236","157581541.wem","VOICE","","","PENDING","","",""
"237","339751913.wem","VOICE","","","PENDING","","",""
"238","588927754.wem","VOICE","","","PENDING","","",""
"239","393504504.wem","VOICE","","","PENDING","","",""
"240","430086978.wem","VOICE","","","PENDING","","",""
"241","647942636.wem","VOICE","","","PENDING","","",""
"242","805585905.wem","VOICE","","","PENDING","","",""
"243","970479669.wem","VOICE","","","PENDING","","",""
"244","575396518.wem","VOICE","","","PENDING","","",""
"245","223793026.wem","VOICE","","","PENDING","","",""
"246","929730082.wem","VOICE","","","PENDING","","",""
"247","864907048.wem","VOICE","","","PENDING","","",""
"248","630526577.wem","VOICE","","","PENDING","","",""
"249","566110703.wem","VOICE","","","PENDING","","",""
"250","596877562.wem","VOICE","","","PENDING","","",""
"251","753629622.wem","VOICE","","","PENDING","","",""
"252","1031659901.wem","VOICE","","","PENDING","","",""
"253","1013214237.wem","VOICE","","","PENDING","","",""
"254","299604590.wem","VOICE","","","PENDING","","",""
"255","146493191.wem","VOICE","","","PENDING","","",""
"256","760561591.wem","VOICE","","","PENDING","","",""
"257","529048438.wem","VOICE","","","PENDING","","",""
"258","61738747.wem","VOICE","","","PENDING","","",""
"259","8118526.wem","VOICE","","","PENDING","","",""
"260","87634762.wem","VOICE","","","PENDING","","",""
"261","136642407.wem","VOICE","","","PENDING","","",""
"262","609473232.wem","VOICE","","","PENDING","","",""
"263","774219807.wem","VOICE","","","PENDING","","",""
"264","780869917.wem","VOICE","","","PENDING","","",""
"265","653141414.wem","VOICE","","","PENDING","","",""
"266","959761289.wem","VOICE","","","PENDING","","",""
"267","287735083.wem","VOICE","","","PENDING","","",""
"268","167945959.wem","VOICE","","","PENDING","","",""
"269","1028485157.wem","VOICE","","","PENDING","","",""
"270","86065016.wem","VOICE","","","PENDING","","",""
"271","495882292.wem","VOICE","","","PENDING","","",""
"272","383786923.wem","VOICE","","","PENDING","","",""
"273","200272434.wem","VOICE","","","PENDING","","",""
"274","1068329219.wem","VOICE","","","PENDING","","",""
"275","826928329.wem","VOICE","","","PENDING","","",""
"276","46657280.wem","VOICE","","","PENDING","","",""
"277","272772371.wem","VOICE","","","PENDING","","",""
"278","842744467.wem","VOICE","","","PENDING","","",""
"279","89315413.wem","VOICE","","","PENDING","","",""
"280","157056275.wem","VOICE","","","PENDING","","",""
"281","866356484.wem","VOICE","","","PENDING","","",""
"282","496373118.wem","VOICE","","","PENDING","","",""
"283","206247569.wem","VOICE","","","PENDING","","",""
"284","43709616.wem","VOICE","","","PENDING","","",""
"285","876612086.wem","VOICE","","","PENDING","","",""
"286","1058158586.wem","VOICE","","","PENDING","","",""
"287","698957989.wem","VOICE","","","PENDING","","",""
"288","56270695.wem","VOICE","","","PENDING","","",""
"289","766154379.wem","VOICE","","","PENDING","","",""
"290","321690469.wem","VOICE","","","PENDING","","",""
"291","408545271.wem","VOICE","","","PENDING","","",""
"292","908775499.wem","VOICE","","","PENDING","","",""
"293","42374114.wem","VOICE","","","PENDING","","",""
"294","28899013.wem","VOICE","","","PENDING","","",""
"295","163370250.wem","VOICE","","","PENDING","","",""
"296","221217876.wem","VOICE","","","PENDING","","",""
"297","194110632.wem","VOICE","","","PENDING","","",""
"298","918364560.wem","VOICE","","","PENDING","","",""
"299","82613959.wem","VOICE","","","PENDING","","",""
"300","401643321.wem","VOICE","","","PENDING","","",""
"301","888043717.wem","VOICE","","","PENDING","","",""
"302","531535501.wem","VOICE","","","PENDING","","",""
"303","933900365.wem","VOICE","","","PENDING","","",""
"304","25982441.wem","VOICE","","","PENDING","","",""
"305","958401130.wem","VOICE","","","PENDING","","",""
"306","323978565.wem","VOICE","","","PENDING","","",""
"307","257763145.wem","VOICE","","","PENDING","","",""
"308","785330184.wem","VOICE","","","PENDING","","",""
"309","680844896.wem","VOICE","","","PENDING","","",""
