"FromIndex","FromType","FromID","FieldName","FieldType","ToID"
"109","HircChunk","","ulChildID","tid","924258737"
"109","HircChunk","","sourceID","tid","697193758"
"109","HircChunk","","uFileID","tid","697193758"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","596505324"
"109","HircChunk","","sourceID","tid","237528681"
"109","HircChunk","","uFileID","tid","237528681"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","596505324"
"109","HircChunk","","sourceID","tid","911543220"
"109","HircChunk","","uFileID","tid","911543220"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","596505324"
"109","HircChunk","","sourceID","tid","697282788"
"109","HircChunk","","uFileID","tid","697282788"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","596505324"
"109","HircChunk","","sourceID","tid","833742253"
"109","HircChunk","","uFileID","tid","833742253"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","596505324"
"109","HircChunk","","sourceID","tid","117431200"
"109","HircChunk","","uFileID","tid","117431200"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","596505324"
"109","HircChunk","","sourceID","tid","366831874"
"109","HircChunk","","uFileID","tid","366831874"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","596505324"
"109","HircChunk","","sourceID","tid","833202924"
"109","HircChunk","","uFileID","tid","833202924"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","596505324"
"109","HircChunk","","sourceID","tid","891536372"
"109","HircChunk","","uFileID","tid","891536372"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","596505324"
"109","HircChunk","","sourceID","tid","846685508"
"109","HircChunk","","uFileID","tid","846685508"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","596505324"
"109","HircChunk","","OverrideBusId","tid","1158987668"
"109","HircChunk","","DirectParentID","tid","0"
"109","HircChunk","","ulChildID","tid","103998348"
"109","HircChunk","","ulChildID","tid","162154101"
"109","HircChunk","","ulChildID","tid","304380630"
"109","HircChunk","","ulChildID","tid","355277542"
"109","HircChunk","","ulChildID","tid","404670054"
"109","HircChunk","","ulChildID","tid","606536846"
"109","HircChunk","","ulChildID","tid","743133992"
"109","HircChunk","","ulChildID","tid","763195930"
"109","HircChunk","","ulChildID","tid","881382546"
"109","HircChunk","","ulChildID","tid","946172433"
"109","HircChunk","","sourceID","tid","316454681"
"109","HircChunk","","uFileID","tid","316454681"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","610599190"
"109","HircChunk","","OverrideBusId","tid","2891806020"
"109","HircChunk","","DirectParentID","tid","0"
"109","HircChunk","","ulChildID","tid","74105596"
"109","HircChunk","","sourceID","tid","302855129"
"109","HircChunk","","uFileID","tid","302855129"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","613563871"
"109","HircChunk","","sourceID","tid","660666201"
"109","HircChunk","","uFileID","tid","660666201"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","613563871"
"109","HircChunk","","sourceID","tid","623217668"
"109","HircChunk","","uFileID","tid","623217668"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","613563871"
"109","HircChunk","","sourceID","tid","779278000"
"109","HircChunk","","uFileID","tid","779278000"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","613563871"
"109","HircChunk","","sourceID","tid","186070293"
"109","HircChunk","","uFileID","tid","186070293"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","613563871"
"109","HircChunk","","sourceID","tid","958740332"
"109","HircChunk","","uFileID","tid","958740332"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","613563871"
"109","HircChunk","","OverrideBusId","tid","1158987668"
"109","HircChunk","","DirectParentID","tid","0"
"109","HircChunk","","uAttenuationID","tid","110480038"
"109","HircChunk","","ulChildID","tid","56498920"
"109","HircChunk","","ulChildID","tid","102529807"
"109","HircChunk","","ulChildID","tid","442588376"
"109","HircChunk","","ulChildID","tid","527051793"
"109","HircChunk","","ulChildID","tid","646841222"
"109","HircChunk","","ulChildID","tid","760731484"
"109","HircChunk","","sourceID","tid","647942636"
"109","HircChunk","","uFileID","tid","647942636"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","322706511"
"109","HircChunk","","uFileID","tid","322706511"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","448827065"
"109","HircChunk","","uFileID","tid","448827065"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","142501603"
"109","HircChunk","","uFileID","tid","142501603"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","718012839"
"109","HircChunk","","uFileID","tid","718012839"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","898001860"
"109","HircChunk","","uFileID","tid","898001860"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","755501008"
"109","HircChunk","","uFileID","tid","755501008"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","1012272758"
"109","HircChunk","","uFileID","tid","1012272758"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","398622759"
"109","HircChunk","","uFileID","tid","398622759"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","723186224"
"109","HircChunk","","uFileID","tid","723186224"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","616565789"
"109","HircChunk","","uFileID","tid","616565789"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","874935267"
