"SourceID","UFileID","WEMFound","WEMFile","RelativePath","SizeBytes","StreamType","IsLanguageSpecific","HasSource","ExternallySupplied","ParentObject"
"970401893","970401893","True","970401893.wem","th4_000_common_vo\english(us)\970401893.wem","18796","1","","","","AkBankSourceData"
"970479669","970479669","True","970479669.wem","th4_000_common_vo\english(us)\970479669.wem","13631","1","","","","AkBankSourceData"
"972858731","972858731","True","972858731.wem","th4_000_common_vo\english(us)\972858731.wem","10044","1","","","","AkBankSourceData"
"974306733","974306733","True","974306733.wem","th4_000_common_vo\english(us)\974306733.wem","38348","1","","","","AkBankSourceData"
"974657530","974657530","True","974657530.wem","th4_000_common_vo\english(us)\974657530.wem","11891","1","","","","AkBankSourceData"
"975698895","975698895","True","975698895.wem","th4_000_common_vo\english(us)\975698895.wem","23181","1","","","","AkBankSourceData"
"979544947","979544947","True","979544947.wem","th4_000_common_vo\english(us)\979544947.wem","23224","1","","","","AkBankSourceData"
"979556710","979556710","True","979556710.wem","th4_000_common_vo\english(us)\979556710.wem","11878","1","","","","AkBankSourceData"
"979626938","979626938","True","979626938.wem","th4_000_common_vo\english(us)\979626938.wem","20419","1","","","","AkBankSourceData"
"980150240","980150240","True","980150240.wem","th4_000_common_vo\english(us)\980150240.wem","81743","1","","","","AkBankSourceData"
"980652201","980652201","True","980652201.wem","th4_000_common_vo\english(us)\980652201.wem","25178","1","","","","AkBankSourceData"
"983217710","983217710","True","983217710.wem","th4_000_common_vo\english(us)\983217710.wem","20821","1","","","","AkBankSourceData"
"984367350","984367350","True","984367350.wem","th4_000_common_vo\english(us)\984367350.wem","40495","1","","","","AkBankSourceData"
"987869067","987869067","True","987869067.wem","th4_000_common_vo\english(us)\987869067.wem","35067","1","","","","AkBankSourceData"
"988715288","988715288","True","988715288.wem","th4_000_common_vo\english(us)\988715288.wem","11366","1","","","","AkBankSourceData"
"990261344","990261344","True","990261344.wem","th4_000_common_vo\english(us)\990261344.wem","17544","1","","","","AkBankSourceData"
"990263916","990263916","True","990263916.wem","th4_000_common_vo\english(us)\990263916.wem","31668","1","","","","AkBankSourceData"
"990676790","990676790","True","990676790.wem","th4_000_common_vo\english(us)\990676790.wem","45071","1","","","","AkBankSourceData"
"991998568","991998568","True","991998568.wem","th4_000_common_vo\english(us)\991998568.wem","63594","1","","","","AkBankSourceData"
"994924645","994924645","True","994924645.wem","th4_000_common_vo\english(us)\994924645.wem","32754","1","","","","AkBankSourceData"
"994952825","994952825","True","994952825.wem","th4_000_common_vo\english(us)\994952825.wem","28678","1","","","","AkBankSourceData"
"995532982","995532982","True","995532982.wem","th4_000_common_vo\english(us)\995532982.wem","7899","1","","","","AkBankSourceData"
"996950021","996950021","True","996950021.wem","th4_000_common_vo\english(us)\996950021.wem","29690","1","","","","AkBankSourceData"
"1001401885","1001401885","True","1001401885.wem","th4_000_common_vo\english(us)\1001401885.wem","30192","1","","","","AkBankSourceData"
"1001406991","1001406991","True","1001406991.wem","th4_000_common_vo\english(us)\1001406991.wem","10162","1","","","","AkBankSourceData"
"1002118069","1002118069","True","1002118069.wem","th4_000_common_vo\english(us)\1002118069.wem","17735","1","","","","AkBankSourceData"
"1002356841","1002356841","True","1002356841.wem","th4_000_common_vo\english(us)\1002356841.wem","15272","1","","","","AkBankSourceData"
"1002909437","1002909437","True","1002909437.wem","th4_000_common_vo\english(us)\1002909437.wem","33089","1","","","","AkBankSourceData"
"1004298845","1004298845","True","1004298845.wem","th4_000_common_vo\english(us)\1004298845.wem","7026","2","","","","AkBankSourceData"
"1004466769","1004466769","True","1004466769.wem","th4_000_common_vo\english(us)\1004466769.wem","23073","1","","","","AkBankSourceData"
"1004474760","1004474760","True","1004474760.wem","th4_000_common_vo\english(us)\1004474760.wem","44722","1","","","","AkBankSourceData"
"1006709767","1006709767","True","1006709767.wem","th4_000_common_vo\english(us)\1006709767.wem","8282","1","","","","AkBankSourceData"
"1007862950","1007862950","True","1007862950.wem","th4_000_common_vo\english(us)\1007862950.wem","24385","1","","","","AkBankSourceData"
"1007923018","1007923018","True","1007923018.wem","th4_000_common_vo\english(us)\1007923018.wem","19778","1","","","","AkBankSourceData"
"1008196753","1008196753","True","1008196753.wem","th4_000_common_vo\english(us)\1008196753.wem","41539","1","","","","AkBankSourceData"
"1009114422","1009114422","True","1009114422.wem","th4_000_common_vo\english(us)\1009114422.wem","14640","1","","","","AkBankSourceData"
"1010472104","1010472104","True","1010472104.wem","th4_000_common_vo\english(us)\1010472104.wem","32518","1","","","","AkBankSourceData"
"1011213518","1011213518","True","1011213518.wem","th4_000_common_vo\english(us)\1011213518.wem","44574","1","","","","AkBankSourceData"
"1011669071","1011669071","True","1011669071.wem","th4_000_common_vo\english(us)\1011669071.wem","10725","1","","","","AkBankSourceData"
"1011669277","1011669277","True","1011669277.wem","th4_000_common_vo\english(us)\1011669277.wem","25204","1","","","","AkBankSourceData"
"1011898081","1011898081","True","1011898081.wem","th4_000_common_vo\english(us)\1011898081.wem","101730","1","","","","AkBankSourceData"
"1012272758","1012272758","True","1012272758.wem","th4_000_common_vo\english(us)\1012272758.wem","19682","2","","","","AkBankSourceData"
"1012365781","1012365781","True","1012365781.wem","th4_000_common_vo\english(us)\1012365781.wem","52825","1","","","","AkBankSourceData"
